#,Success,Message
2017-05-02T00:55:41.768437,-1,6*76361
2017-05-02T00:55:59.799475,-1,1123118
2017-05-02T00:56:20.833703,-1,12442#8
2017-05-02T00:56:43.873669,-1,*641779
2017-05-02T00:57:08.916497,-1,3213381
2017-05-02T00:57:44.972976,-1,6370413
2017-05-02T00:58:06.007030,-1,1332553
2017-05-02T01:11:29.691801,0,Start
2017-05-02T01:11:58.968658,0,Start
2017-05-02T01:13:21.271397,0,Start
2017-05-02T01:13:37.297452,-1,3952639
2017-05-02T01:13:56.325123,-1,5333682
2017-05-02T01:14:24.324508,0,Start
2017-05-02T01:14:43.358214,-1,364*8#4
2017-05-02T01:15:07.398982,-1,*668326
2017-05-02T01:15:31.439319,-1,4131732
2017-05-02T01:16:03.491084,-1,6948251
2017-05-02T01:16:23.527092,-1,2211402
2017-05-02T01:20:37.861564,0,Start
2017-05-02T01:20:50.887418,-1,89*3208
2017-05-02T01:21:19.932614,-1,*4*4622
2017-05-02T01:21:41.966097,-1,7446483
2017-05-02T01:22:00.999759,-1,57*2232
2017-05-02T01:22:27.043473,-1,4353642
2017-05-02T01:22:49.079028,-1,2435392
2017-05-02T01:23:13.118959,-1,6415115
2017-05-02T01:23:40.164598,-1,8629527
2017-05-02T01:24:03.202375,-1,6327268
2017-05-02T01:24:26.242098,-1,5762582
2017-05-02T01:25:00.295605,-1,6492362
2017-05-02T01:25:21.331846,-1,62*3945
2017-05-02T01:25:50.379837,-1,4323022
2017-05-02T01:26:11.292648,0,Start
2017-05-02T01:26:20.309878,-1,2614266
2017-05-02T01:26:50.179645,0,Start
2017-05-02T01:27:00.199619,-1,52648*3
2017-05-02T01:27:23.239532,-1,2834515
2017-05-02T01:29:46.430992,0,Start
2017-05-02T01:30:43.138162,0,Start
2017-05-02T01:30:48.828320,0,Start
2017-05-02T01:30:59.847457,-1,2403323
2017-05-02T01:31:16.894226,0,Start
2017-05-02T01:31:32.924031,-1,1##3757
2017-05-02T01:31:56.963745,-1,47373#5
2017-05-02T01:32:26.199433,0,Start
2017-05-02T01:32:46.234026,-1,26#2386
2017-05-02T01:33:08.272710,-1,2221154
2017-05-02T01:33:36.317779,-1,900129*
2017-05-02T01:34:04.360545,-1,*783369
2017-05-02T01:34:29.399157,-1,6469317
2017-05-02T01:34:55.441233,-1,7338215
2017-05-02T01:35:24.488112,-1,8318641
2017-05-02T01:35:52.531861,-1,8922655
2017-05-02T01:36:32.041529,0,Start
2017-05-02T01:36:48.072147,-1,6168#73
2017-05-02T01:37:19.120618,-1,907#227
2017-05-02T01:37:39.152749,-1,#238353
2017-05-02T01:38:10.387972,0,Start
2017-05-02T01:38:24.413304,-1,4215945
2017-05-02T01:38:46.448844,-1,1433433
2017-05-02T01:39:07.486011,-1,#072153
2017-05-02T01:39:36.232475,0,Start
2017-05-02T01:39:40.177764,0,Start
2017-05-02T01:39:43.550644,0,Start
2017-05-02T01:39:57.575842,-1,92052#7
2017-05-02T01:40:25.599339,0,Start
2017-05-02T01:40:44.034880,0,Start
